model,task,evidence_type,operator,radius_mm,patient_count,negative_count,positive_count,biopsy_local_auc,biopsy_direction_agreement,spatial_discriminability_ratio,biopsy_strict_5_0_label_correct_fraction,reference_strict_5_0_same_sign_fraction,biopsy_local_auc_rank_of20,biopsy_direction_agreement_rank_of20,spatial_discriminability_ratio_rank_of20,biopsy_strict_5_0_label_correct_fraction_rank_of20,reference_strict_5_0_same_sign_fraction_rank_of20
2.5D Hybrid MTL,Grade,Deletion proxy,harmonic,5,10,3,7,0.61904761904761907,0.69999999999999996,0.26675886462920978,0.20000000000000001,0.26093749999999999,3,4,5,7,12
2.5D Hybrid MTL,IDH,Deletion proxy,harmonic,5,15,12,3,0.69444444444444442,0.46666666666666667,0.0093481405857626012,0,0.21770833333333334,4,11,14,13,18
ResNet18 2.5D,Grade,Deletion proxy,harmonic,5,10,3,7,0.38095238095238093,0.40000000000000002,0.068428166844140756,0.10000000000000001,0.19062499999999999,16,11,11,10,18
ResNet18 2.5D,IDH,Deletion proxy,harmonic,5,15,12,3,0.3611111111111111,0.46666666666666667,0.055854423553208445,0.066666666666666666,0.13229166666666667,17,11,11,11,19
Swin-S,Grade,Deletion proxy,harmonic,5,10,3,7,0.14285714285714285,0.29999999999999999,0.0076272160540806003,0.10000000000000001,0.125,20,14,14,10,19
Swin-S,IDH,Deletion proxy,harmonic,5,15,12,3,0.63888888888888884,0.46666666666666667,0.00020426957409083466,0,0.24583333333333332,6,11,15,13,15
AGGN,Grade,Deletion proxy,harmonic,5,10,3,7,0.42857142857142855,0.59999999999999998,0.19147469751194746,0.40000000000000002,0.23125000000000001,15,6,8,2,16
AGGN,IDH,Deletion proxy,harmonic,5,15,12,3,0.44444444444444442,0.59999999999999998,0.16402881698504587,0.33333333333333331,0.36458333333333331,9,7,7,4,9
CMTLNet,Grade,Deletion proxy,harmonic,5,10,3,7,0.5714285714285714,0.80000000000000004,0.15422156233258927,0.29999999999999999,0.2421875,4,2,10,5,14
CMTLNet,IDH,Deletion proxy,harmonic,5,15,12,3,0.52777777777777779,0.73333333333333328,0.19601505663720606,0.40000000000000002,0.30416666666666664,7,4,6,3,12
DenseNet121 3D,Grade,Deletion proxy,harmonic,5,10,3,7,0.76190476190476186,0.90000000000000002,0.24572812304020408,0.40000000000000002,0.28281250000000002,2,1,6,2,11
DenseNet121 3D,IDH,Deletion proxy,harmonic,5,15,12,3,0.72222222222222221,0.80000000000000004,0.27381364205066289,0.33333333333333331,0.22708333333333333,3,2,3,4,16
EfficientNet-B0 3D,Grade,Deletion proxy,harmonic,5,10,3,7,0.23809523809523808,0.29999999999999999,0.012317090922502983,0,0.073437500000000003,19,14,13,14,20
EfficientNet-B0 3D,IDH,Deletion proxy,harmonic,5,15,12,3,0.27777777777777779,0.59999999999999998,0.016619096318914246,0.20000000000000001,0.089583333333333334,19,7,13,8,20
GlioMT image-only Transformer,Grade,Deletion proxy,harmonic,5,10,3,7,0.52380952380952384,0.5,0.32768784531489026,0.29999999999999999,0.42656250000000001,6,8,4,5,8
GlioMT image-only Transformer,IDH,Deletion proxy,harmonic,5,15,12,3,0.22222222222222221,0.46666666666666667,0.25873591755845626,0.066666666666666666,0.40104166666666669,20,11,4,11,8
MFEFNet,Grade,Deletion proxy,harmonic,5,10,3,7,0.52380952380952384,0.40000000000000002,0.45172276023683477,0.20000000000000001,0.65468749999999998,6,11,2,7,6
MFEFNet,IDH,Deletion proxy,harmonic,5,15,12,3,0.3888888888888889,0.53333333333333333,0.12901637582251985,0.26666666666666666,0.33750000000000002,14,10,10,6,11
MTTU-Net,Grade,Deletion proxy,harmonic,5,10,3,7,0.38095238095238093,0.40000000000000002,0.34884936865947658,0.20000000000000001,0.5390625,16,11,3,7,7
MTTU-Net,IDH,Deletion proxy,harmonic,5,15,12,3,0.44444444444444442,0.66666666666666663,0.24424238308130383,0.26666666666666666,0.34791666666666665,9,5,5,6,10
PrognosAIs WHO-2016 MTL,Grade,Deletion proxy,harmonic,5,10,3,7,0.38095238095238093,0.5,0.21454576362902852,0,0.234375,16,8,7,14,15
PrognosAIs WHO-2016 MTL,IDH,Deletion proxy,harmonic,5,15,12,3,0.83333333333333337,0.66666666666666663,0.14492059158125675,0.13333333333333333,0.29583333333333334,1,5,8,10,13
ResNet10 3D,Grade,Deletion proxy,harmonic,5,10,3,7,0.47619047619047616,0.69999999999999996,0.037656046815655861,0.10000000000000001,0.24531249999999999,14,4,12,10,13
ResNet10 3D,IDH,Deletion proxy,harmonic,5,15,12,3,0.3888888888888889,0.59999999999999998,0.14228076175002907,0.20000000000000001,0.26874999999999999,14,7,9,8,14
ResNet18 3D,Grade,Deletion proxy,harmonic,5,10,3,7,0.52380952380952384,0.59999999999999998,0.18868399050754492,0.40000000000000002,0.29375000000000001,6,6,9,2,10
ResNet18 3D,IDH,Deletion proxy,harmonic,5,15,12,3,0.5,0.80000000000000004,0.43036120313120452,0.46666666666666667,0.55625000000000002,8,2,2,2,6
CoLE-Net,IDH,Native,native_not_applicable,,15,12,3,0.77777777777777779,0.8666666666666667,0.64817223680538061,0.66666666666666663,0.84895833333333337,2,1,1,1,3
CoLE-Net,Grade,Native,native_not_applicable,,10,3,7,0.8571428571428571,0.80000000000000004,0.65978936527939713,0.69999999999999996,0.84999999999999998,1,2,1,1,3
AdaBoost,Grade,Deletion proxy,harmonic,5,10,3,7,0.5,0,0,0,1,11,20,15,14,1
AdaBoost,IDH,Deletion proxy,harmonic,5,15,12,3,0.41666666666666669,0,0,0,0.92604166666666665,11,19,18,13,1
Extra trees,Grade,Deletion proxy,harmonic,5,10,3,7,0.5,0.29999999999999999,0,0,0.38593749999999999,11,14,15,14,9
Extra trees,IDH,Deletion proxy,harmonic,5,15,12,3,0.66666666666666663,0.26666666666666666,3.2951470400904854e-17,0,0.49583333333333335,5,17,16,13,7
Gradient boosting,Grade,Deletion proxy,harmonic,5,10,3,7,0.5714285714285714,0.10000000000000001,0,0,0.88124999999999998,4,17,15,14,2
Gradient boosting,IDH,Deletion proxy,harmonic,5,15,12,3,0.41666666666666669,0,0,0,0.91562500000000002,11,19,18,13,2
Hist. gradient boosting,Grade,Deletion proxy,harmonic,5,10,3,7,0.52380952380952384,0.10000000000000001,0,0,0.671875,6,17,15,14,4
Hist. gradient boosting,IDH,Deletion proxy,harmonic,5,15,12,3,0.34722222222222221,0.33333333333333331,0,0,0.6645833333333333,18,15,18,13,5
MLP (joint),Grade,Deletion proxy,harmonic,5,10,3,7,0.52380952380952384,0.5,0,0.10000000000000001,0.19843749999999999,6,8,15,10,17
MLP (joint),IDH,Deletion proxy,harmonic,5,15,12,3,0.41666666666666663,0.33333333333333331,0.022693395769890646,0,0.22187499999999999,13,15,12,13,17
Random forest,Grade,Deletion proxy,harmonic,5,10,3,7,0.5,0.10000000000000001,0,0,0.6640625,11,17,15,14,5
Random forest,IDH,Deletion proxy,harmonic,5,15,12,3,0.375,0.066666666666666666,2.5755933961759674e-17,0,0.67395833333333333,16,18,17,13,4
