model,task,metric,n,n_positive,ours,baseline,difference,p_raw,test,alternative,delong_variance,test_status,p_holm91,p_holm910,p_holm19_conditional,p_holm190_conditional,significant_raw,significant_holm91,significant_holm910,significant_holm19_conditional,significant_holm190_conditional,numerically_higher
AdaBoost,Grade,biopsy_local_auc,10,7,0.8571428571428571,0.5,0.3571428571428571,0.0028066157475524693,paired DeLong (small sample),greater,0.016628873771730914,OK,0.24417557003706483,1,0.047712467708391978,0.3732798944244784,True,False,False,True,False,True
AdaBoost,Grade,biopsy_direction_agreement,10,7,0.80000000000000004,0,0.80000000000000004,0.00390625,exact McNemar,greater,,OK,0.35546875,1,0.07421875,0.515625,True,False,False,False,False,True
AdaBoost,Grade,spatial_discriminability_ratio,10,7,0.65978936527939713,0,0.65978936527939713,0.015625,exact patient swap of medians,greater,,OK,0.875,1,0.08203125,1,True,False,False,False,False,True
AdaBoost,Grade,biopsy_strict_5_0_label_correct_fraction,10,7,0.69999999999999996,0,0.69999999999999996,0.0078125,exact McNemar,greater,,OK,0.7109375,1,0.1484375,0.9140625,True,False,False,False,False,True
AdaBoost,Grade,reference_strict_5_0_same_sign_fraction,10,7,0.84999999999999998,1,-0.15000000000000002,1,exact patient swap of means,greater,,OK,1,1,1,1,False,False,False,False,False,False
AdaBoost,IDH,biopsy_local_auc,15,3,0.77777777777777779,0.41666666666666669,0.3611111111111111,0.024653582145606121,paired DeLong (small sample),greater,0.033740179573512906,OK,1,1,0.3698290144396113,1,True,False,False,False,False,True
AdaBoost,IDH,biopsy_direction_agreement,15,3,0.8666666666666667,0,0.8666666666666667,0.0001220703125,exact McNemar,greater,,OK,0.0111083984375,0.1107177734375,0.0023193359375,0.0224609375,True,True,False,True,True,True
AdaBoost,IDH,spatial_discriminability_ratio,15,3,0.64817223680538061,0,0.64817223680538061,0.00390625,exact patient swap of medians,greater,,OK,0.18072509765625,1,0.01171875,0.515625,True,False,False,True,False,True
AdaBoost,IDH,biopsy_strict_5_0_label_correct_fraction,15,3,0.66666666666666663,0,0.66666666666666663,0.0009765625,exact McNemar,greater,,OK,0.0888671875,0.828125,0.0185546875,0.15625,True,False,False,True,False,True
AdaBoost,IDH,reference_strict_5_0_same_sign_fraction,15,3,0.84895833333333337,0.92604166666666665,-0.077083333333333282,0.8125,exact patient swap of means,greater,,OK,1,1,1,1,False,False,False,False,False,False
Extra trees,Grade,biopsy_local_auc,10,7,0.8571428571428571,0.5,0.3571428571428571,0.091588786180844817,paired DeLong (small sample),greater,0.071995464852607702,OK,1,1,0.64112150326591366,1,False,False,False,False,False,True
Extra trees,Grade,biopsy_direction_agreement,10,7,0.80000000000000004,0.29999999999999999,0.5,0.0625,exact McNemar,greater,,OK,1,1,0.8125,1,False,False,False,False,False,True
Extra trees,Grade,spatial_discriminability_ratio,10,7,0.65978936527939713,0,0.65978936527939713,0.01171875,exact patient swap of medians,greater,,OK,0.75,1,0.08203125,1,True,False,False,False,False,True
Extra trees,Grade,biopsy_strict_5_0_label_correct_fraction,10,7,0.69999999999999996,0,0.69999999999999996,0.0078125,exact McNemar,greater,,OK,0.7109375,1,0.1484375,0.9140625,True,False,False,False,False,True
Extra trees,Grade,reference_strict_5_0_same_sign_fraction,10,7,0.84999999999999998,0.38593749999999999,0.46406249999999999,0.0126953125,exact patient swap of means,greater,,OK,1,1,0.076171875,1,True,False,False,False,False,True
Extra trees,IDH,biopsy_local_auc,15,3,0.77777777777777779,0.66666666666666663,0.11111111111111116,0.36350021209533823,paired DeLong (small sample),greater,0.10129068462401797,OK,1,1,1,1,False,False,False,False,False,True
