model,task,cohort,n,n_negative,n_positive,estimate_type,roc_auc,accuracy,f1,mcc,sensitivity,specificity,balanced_accuracy,brier,log_loss,roc_auc_rank_of20,accuracy_rank_of20,f1_rank_of20,mcc_rank_of20
CMTLNet,IDH,Development OOF,1355,1074,281,pooled_out_of_fold,0.88735362532058293,0.84575645756457563,0.69753979739507954,0.61805744824318565,0.85765124555160144,0.84264432029795155,0.85014778292477655,0.092668284421113897,0.42357585116201352,10,9,6,6
ResNet10 3D,IDH,Development OOF,1355,1074,281,pooled_out_of_fold,0.9057303988813562,0.85461254612546123,0.70375939849624058,0.62353460850574915,0.83274021352313166,0.86033519553072624,0.84653770452692889,0.093010244177880647,0.38689855055854483,4,3,3,3
ResNet18 2.5D,IDH,Development OOF,1355,1074,281,pooled_out_of_fold,0.89158830195431316,0.85018450184501848,0.69007633587786255,0.60445531906101602,0.80427046263345192,0.86219739292364994,0.83323392777855099,0.097608529410180708,0.42659088044017568,9,6,8,8
ResNet18 3D,IDH,Development OOF,1355,1074,281,pooled_out_of_fold,0.90149572224762586,0.84428044280442804,0.68647845468053492,0.60099375217454554,0.8220640569395018,0.85009310986964615,0.83607858340457397,0.097962806114137421,0.32090084084694659,6,10,10,10
DenseNet121 3D,IDH,Development OOF,1355,1074,281,pooled_out_of_fold,0.91359669178313685,0.85166051660516606,0.70133729569093606,0.62106608371996286,0.83985765124555156,0.85474860335195535,0.84730312729875346,0.094647714272337868,0.34218753051765693,3,5,5,4
EfficientNet-B0 3D,IDH,Development OOF,1355,1074,281,pooled_out_of_fold,0.85973876220203183,0.84354243542435425,0.66349206349206347,0.56872250353350384,0.74377224199288261,0.86964618249534453,0.80670921224411352,0.10773167543119455,0.5027662645479577,12,11,12,12
PrognosAIs WHO-2016 MTL,IDH,Development OOF,1355,1074,281,pooled_out_of_fold,0.90563762036355921,0.847970479704797,0.6943620178041543,0.61174295442565441,0.83274021352313166,0.85195530726256985,0.84234776039285075,0.089942067574405982,0.31946570808914676,5,7,7,7
GlioMT image-only Transformer,IDH,Development OOF,1355,1074,281,pooled_out_of_fold,0.83672306275141317,0.80590405904059037,0.59724349157733536,0.48070910729766653,0.69395017793594305,0.83519553072625696,0.7645728543311,0.12178171524987774,0.42535476668443889,13,13,13,13
MTTU-Net,IDH,Development OOF,1355,1074,281,pooled_out_of_fold,0.89777795449876407,0.84649446494464942,0.68768768768768773,0.60202741642803648,0.81494661921708189,0.85474860335195535,0.83484761128451868,0.096108953704441669,0.34790371702965617,7,8,9,9
MFEFNet,IDH,Development OOF,1355,1074,281,pooled_out_of_fold,0.93133395627480997,0.86051660516605166,0.71748878923766812,0.64241406402245871,0.85409252669039148,0.86219739292364994,0.85814495980702077,0.081049731281374424,0.27310942745284494,2,2,2,2
2.5D Hybrid MTL,IDH,Development OOF,1355,1074,281,pooled_out_of_fold,0.89196604306248628,0.85387453874538743,0.70180722891566261,0.62082266562176858,0.8291814946619217,0.86033519553072624,0.84475834509632397,0.10814855029255152,0.38194410633654402,8,4,4,5
AGGN,IDH,Development OOF,1355,1074,281,pooled_out_of_fold,0.88570017959270231,0.82952029520295201,0.66857962697274032,0.57905940934601485,0.8291814946619217,0.82960893854748607,0.82939521660470383,0.10281475150397007,0.35929203240537411,11,12,11,11
Swin-S,IDH,Development OOF,1355,1074,281,pooled_out_of_fold,0.70600475821255559,0.67453874538745384,0.4667472793228537,0.29604355867906701,0.68683274021352314,0.67132216014897583,0.67907745018124954,0.15584646247520179,0.47667084145335042,20,20,20,20
CMTLNet,IDH,UCSF,495,392,103,five_fold_probability_ensemble,0.93818109768179114,0.88080808080808082,0.7531380753138075,0.68789024141049815,0.87378640776699024,0.88265306122448983,0.87821973449574009,0.079467018224739144,0.26519274110158775,2,2,2,2
ResNet10 3D,IDH,UCSF,495,392,103,five_fold_probability_ensemble,0.92094313453536758,0.65656565656565657,0.53296703296703296,0.42555017532371125,0.94174757281553401,0.58163265306122447,0.76169011293837929,0.078895890078691744,0.27152980969735935,7,20,13,13
ResNet18 2.5D,IDH,UCSF,495,392,103,five_fold_probability_ensemble,0.89414503665543887,0.8101010101010101,0.63846153846153841,0.53823711001308505,0.80582524271844658,0.81122448979591832,0.80852486625718245,0.087814728302190351,0.30665614845702133,12,6,7,7
ResNet18 3D,IDH,UCSF,495,392,103,five_fold_probability_ensemble,0.92849712700614229,0.72929292929292933,0.5864197530864198,0.49067455161054518,0.92233009708737868,0.6785714285714286,0.80045076282940364,0.086338313456711779,0.29964674852823708,5,18,12,11
DenseNet121 3D,IDH,UCSF,495,392,103,five_fold_probability_ensemble,0.93382207251832772,0.78989898989898988,0.64383561643835618,0.5600446802968545,0.91262135922330101,0.75765306122448983,0.83513721022389542,0.07149995062538253,0.24997337128229014,3,8,6,6
EfficientNet-B0 3D,IDH,UCSF,495,392,103,five_fold_probability_ensemble,0.90940162472756092,0.77373737373737372,0.6216216216216216,0.52896849292889447,0.89320388349514568,0.74234693877551017,0.81777541113532792,0.089080051256436185,0.29604150907269333,9,10,8,9
PrognosAIs WHO-2016 MTL,IDH,UCSF,495,392,103,five_fold_probability_ensemble,0.93080047553001788,0.75757575757575757,0.61538461538461542,0.52910102309782236,0.93203883495145634,0.71173469387755106,0.8218867644145037,0.087953217065720346,0.29905491999594569,4,13,10,8
GlioMT image-only Transformer,IDH,UCSF,495,392,103,five_fold_probability_ensemble,0.84629482861105609,0.80202020202020197,0.58823529411764708,0.46831024492630852,0.67961165048543692,0.83418367346938771,0.75689766197741237,0.12085256679610777,0.38789074164617293,13,7,11,12
MTTU-Net,IDH,UCSF,495,392,103,five_fold_probability_ensemble,0.92693679413512975,0.83838383838383834,0.6875,0.6048393018667968,0.85436893203883491,0.83418367346938771,0.84427630275411136,0.081024890047042927,0.26836083491201207,6,5,5,4
MFEFNet,IDH,UCSF,495,392,103,five_fold_probability_ensemble,0.90890628095898551,0.86262626262626263,0.70940170940170943,0.6288328135610205,0.80582524271844658,0.87755102040816324,0.84168813156330491,0.090935921586087043,0.29598993241057325,10,3,3,3
2.5D Hybrid MTL,IDH,UCSF,495,392,103,five_fold_probability_ensemble,0.90194670101050134,0.8545454545454545,0.68965517241379315,0.60266132490977176,0.77669902912621358,0.875,0.82584951456310685,0.089645952375636592,0.30206256842732454,11,4,4,5
AGGN,IDH,UCSF,495,392,103,five_fold_probability_ensemble,0.91626213592233008,0.7656565656565657,0.61842105263157898,0.52873812030471357,0.91262135922330101,0.72704081632653061,0.81983108777491576,0.08716997477235483,0.30762374421655048,8,11,9,10
Swin-S,IDH,UCSF,495,392,103,five_fold_probability_ensemble,0.75688527838319797,0.68080808080808086,0.46258503401360546,0.28887466416290813,0.66019417475728159,0.68622448979591832,0.67320933227659996,0.14509172786476798,0.45628540891466074,14,19,16,18
CMTLNet,IDH,Xijing,105,88,17,five_fold_probability_ensemble,0.94385026737967914,0.64761904761904765,0.46376811594202899,0.39201949452793661,0.94117647058823528,0.59090909090909094,0.76604278074866317,0.078526528834942003,0.27153069933836926,10,16,15,13
ResNet10 3D,IDH,Xijing,105,88,17,five_fold_probability_ensemble,0.95855614973262027,0.66666666666666663,0.49275362318840582,0.44373060875586795,1,0.60227272727272729,0.80113636363636365,0.060601019196177254,0.20220782336956264,7,15,12,12
ResNet18 2.5D,IDH,Xijing,105,88,17,five_fold_probability_ensemble,0.9331550802139037,0.74285714285714288,0.5423728813559322,0.48553038055886139,0.94117647058823528,0.70454545454545459,0.82286096256684493,0.074037267936005499,0.24937320645520403,11,7,8,7
ResNet18 3D,IDH,Xijing,105,88,17,five_fold_probability_ensemble,0.96189839572192515,0.74285714285714288,0.5423728813559322,0.48553038055886139,0.94117647058823528,0.70454545454545459,0.82286096256684493,0.061750691736131839,0.22783667961606144,6,7,8,7
DenseNet121 3D,IDH,Xijing,105,88,17,five_fold_probability_ensemble,0.95721925133689845,0.67619047619047623,0.5,0.45226701686664544,1,0.61363636363636365,0.80681818181818188,0.075700831067391977,0.2604318187714727,8,14,11,11
EfficientNet-B0 3D,IDH,Xijing,105,88,17,five_fold_probability_ensemble,0.928475935828877,0.78095238095238095,0.58181818181818179,0.5298165768465799,0.94117647058823528,0.75,0.84558823529411764,0.079600751025275959,0.25499253813082851,12,5,5,5
PrognosAIs WHO-2016 MTL,IDH,Xijing,105,88,17,five_fold_probability_ensemble,0.98195187165775399,0.84761904761904761,0.68000000000000005,0.6492207662311682,1,0.81818181818181823,0.90909090909090917,0.053986287180763315,0.19698187685462004,1,2,2,2
